Chr	WT O1	WT O2	MUT O1	MUT O2	WT Term Ratio	MUT Term Ratio	Corr Coeff	Euclidean Dist
5	211421	287901	211925	288463	0.411767782427	0.581789437926	0.952441306781	236.067512191
5	287901	316518	288463	316684	0.44246426949	0.13865561107	0.824663668948	164.651054307
5	316518	353774	316684	353789	0.480298475413	0.487643174774	0.992923547788	153.531294868
5	353774	407130	353789	406782	0.59481595322	0.598362047818	0.992628895887	200.74579013
5	407130	438787	406782	438847	0.388855545377	0.815063152971	0.733929944378	422.035118078
5	438787	492030	438847	493583	0.553913190466	0.557092224496	0.502998534128	1244.48475002
6	31210	69351	31609	68582	0.15112346294	0.0847645579206	0.853118787228	89.7810003314
6	69351	118717	68582	118626	0.124052991938	0.361511869555	0.738055084885	422.144974294
6	118717	135796	118626	135698	0.616488084782	0.604967197751	0.973763595194	45.2275333631
6	135796	167728	135698	167704	0.407647500939	0.671811535337	0.543129850276	1349.78119932
6	167728	199576	167704	199677	0.477643808088	0.423232102086	0.974160592812	153.377138733
7	64461	117118	64157	118504	0.635490058302	0.665952122472	0.977228933945	103.808588829
7	117118	165233	118504	163760	0.130770030136	0.059704790525	0.802034206964	144.929875763
7	165233	203771	163760	204024	0.281618143131	0.484899662229	0.884372763473	203.758203636
7	203771	286286	204024	286746	0.560104223475	0.484429776843	0.993561888623	236.527715635
7	286286	389349	286746	389312	0.468558066425	0.306958446269	0.977399992149	331.687167028
7	389349	421184	389312	421367	0.426888644574	0.443581344564	0.994715295709	59.1768182253
7	421184	485117	421367	485087	0.480487385231	0.322457627119	0.902470339512	441.439137158
7	485117	508280	485087	508109	0.581617234382	0.593084875337	0.99760397735	56.4360184931
7	508280	572817	508109	572502	0.453243875606	0.529731492554	0.980516800998	244.076042115
7	572817	659246	572502	659665	0.624535746104	0.681309730046	0.976125875862	194.267475419
7	659246	714433	659665	715091	0.475057531665	0.650795655469	0.900764634743	265.305235761
7	714433	777946	715091	777644	0.268559192606	0.27405560085	0.988101749729	238.866632622
7	777946	834680	777644	834755	0.349173335213	0.329393636953	0.979792415851	220.293182766
7	834680	888123	834755	888079	0.489156671594	0.477833620884	0.9872780119	255.672766046
7	888123	978297	888079	978553	0.701111185042	0.595497048876	0.973492995664	298.632991744
7	978297	998848	978553	999180	0.458469174249	0.447714161051	0.989033436245	18.9171775778
8	63919	115782	62997	115082	0.496394346644	0.424172026495	0.173322809531	1582.91697896
8	115782	133279	115082	133246	0.485854717952	0.600473463995	0.87750999409	106.093450634
8	133279	167633	133246	167889	0.839378238342	0.588401697313	0.927357471818	292.260107006
8	167633	246456	167889	246598	0.549877573805	0.548437916884	0.950609282279	194.994775757
8	246456	297041	246598	297112	0.22482949491	0.208001742091	0.993563057364	133.364987033
8	297041	359798	297112	359749	0.741797727744	0.841986365886	0.983272738446	228.86898289
8	359798	392010	359749	392694	0.443561405687	0.614251024435	0.906118258668	85.3349110521
8	392010	447694	392694	447715	0.352453128367	0.297395539885	0.985627816279	158.803091926
8	447694	501984	447715	502240	0.750856511328	0.618615314076	0.944351379582	264.336106428
8	501984	518743	502240	519046	0.70129482666	0.658098298227	0.990643561248	36.0818388966
9	33684	74226	34687	74101	0.149030634897	0.075658395494	0.88673015289	173.081219203
9	74226	106039	74101	106199	0.345770596926	0.214296840925	0.954584517963	87.9427350828
9	106039	135204	106199	135255	0.80881193211	0.76252753304	0.990227627248	103.409003075
9	135204	175292	135255	174380	0.426062662143	0.633757188498	0.967323713448	211.509973819
9	175292	214941	174380	214881	0.192463870463	0.250462951532	0.906132156951	296.324413805
9	214941	247232	214881	247165	0.758787278189	0.954466608846	0.927820917926	152.336704265
9	247232	311422	247165	310813	0.555771927091	0.581149446958	0.986775104091	244.741614625
9	311422	342741	310813	343025	0.234234809541	0.406121942133	0.923289420267	182.915390696
9	342741	356703	343025	356222	0.387981664518	0.134879139198	0.905121162476	38.9833287631
10	68284	99343	68656	99380	0.426382047072	0.395423772946	0.988584550405	66.7828960242
10	99343	161993	99380	162020	0.557829209896	0.392975734355	0.901954687822	322.987210417
10	161993	204324	162020	204933	0.28560629326	0.399436068324	0.904102931317	256.457531103
10	204324	227424	204933	228307	0.748398268398	0.659450671686	0.984079903403	132.948523124
10	227424	299273	228307	299315	0.711311222146	0.647497465074	0.959148832993	307.754203553
10	299273	374983	299315	374880	0.225729758288	0.468051787644	0.950121166947	319.138635316
10	374983	417290	374880	417323	0.452501950032	0.467332657918	0.986360416181	268.982726509
10	417290	442802	417323	443458	0.685285355911	0.317658312608	0.777191194949	333.705963343
10	442802	453551	443458	455664	0.935901014048	0.523349172538	0.882591786828	100.924198403
10	453551	483032	455664	483599	0.681489773074	0.609199928405	0.877654895201	170.859835085
10	483032	540722	483599	540602	0.189946264517	0.507306632984	0.895351546487	540.532274052
10	540722	613131	540602	613109	0.513016337748	0.354448536003	0.927194042012	627.399008804
10	613131	684060	613109	683948	0.387711655317	0.373551292367	0.995276588669	252.425554217
11	56050	98470	56017	98786	0.66438000943	0.653557483224	0.990388034858	102.463683836
11	98470	153163	98786	153204	0.487576106632	0.524256679775	0.988800033419	182.625096876
11	153163	197290	153204	196547	0.599836834591	0.50654084858	0.949935786557	188.46919557
11	197290	213328	196547	213015	0.368624516773	0.408974981783	0.983661488893	59.8369761181
11	213328	258336	213015	258444	0.506865446143	0.284377820335	0.981778472328	160.381587727
11	258336	302969	258444	302778	0.318419106939	0.327265755402	0.992856208849	82.5439530726
11	302969	328992	302778	329598	0.65073204473	0.274981357196	0.802269484035	389.782590667
11	328992	389324	329598	389331	0.612345024199	0.813779652788	0.978713873195	174.386810887
11	389324	418480	389331	417980	0.416758128687	0.445251143146	0.996617710475	106.489797965
11	418480	447620	417980	447552	0.129890185312	0.176991748952	0.965086756338	58.4257508538
11	447620	517596	447552	517848	0.622727792386	0.621173324229	0.985696683893	269.17101858
11	517596	612574	517848	612642	0.611362631346	0.640515222482	0.94725390566	278.283554828
12	91669	141200	92085	141275	0.493367789869	0.372148810734	0.928225121035	269.480184415
12	141200	155214	141275	155543	0.51726844584	0.467479674797	0.990465815412	27.3163023289
12	155214	231046	155543	230764	0.347768751978	0.645092460882	0.92814312129	325.804777954
12	231046	287589	230764	288484	0.941425110093	0.885793485793	0.967971497868	294.831643353
12	287589	373496	288484	373392	0.23591791123	0.483517454186	0.895852597213	534.896582828
12	373496	412082	373392	412577	0.656222464106	0.620645655225	0.996596487707	177.358609333
12	412082	512618	412577	512394	0.495071417204	0.23324684172	0.981820278838	141.753033535
12	512618	602777	512394	604533	0.44523563926	0.446900878021	0.997062660253	315.225650835
12	602777	660144	604533	659814	0.595830355431	0.300926177168	0.624077964253	439.167392484
12	660144	744276	659814	744559	0.4783910997	0.473066257596	0.974625914426	213.647162061
12	744276	793353	744559	792961	0.560384701591	0.813706045205	0.919098196897	353.564869321
12	793353	889233	792961	889274	0.699269920734	0.698067758247	0.972750109093	170.376135843
12	889233	1007193	889274	1006852	0.42497456765	0.427614009424	0.965273334367	138.026631276
13	32309	94688	32292	94384	0.558793824845	0.620289248212	0.983779436199	296.494509541
13	94688	137521	94384	137440	0.44657156865	0.488456893348	0.986715431885	158.983390804
13	137521	228379	137440	228016	0.524076030729	0.494038155803	0.760025683116	555.132407796
13	228379	263631	228016	263882	0.159451945989	0.311464897117	0.9347807526	219.002975025
13	263631	286838	263882	286831	0.4374542164	0.358882739989	0.965964563596	101.508007809
13	286838	432015	286831	431992	0.550266226744	0.47287494575	0.911504617198	559.190574629
13	432015	470750	431992	469429	0.650083903446	0.800838742421	0.936581300643	122.646768617
13	470750	505201	469429	506058	0.277524600157	0.225695487182	0.632245830883	81.5076556674
13	505201	536133	506058	536260	0.123205741627	0.0449639096749	0.934948067482	50.2729824044
13	536133	611877	536260	611828	0.589327207436	0.357611687487	0.992180861171	128.202113713
13	611877	649215	611828	649230	0.401119502919	0.420432062457	0.994644494543	56.8504258409
13	649215	687643	649230	687166	0.841105443947	0.909057359764	0.993592274088	107.413570891
13	687643	759960	687166	759145	0.484256813751	0.542616596507	0.985278554811	182.723086952
13	759960	815364	759145	815057	0.112031622266	0.226874374016	0.920029221271	368.667219187
14	63881	89513	63225	89556	0.0907459425718	0.144012760624	0.928813264271	96.5356295992
14	89513	169880	89556	169628	0.74228228004	0.493849285643	0.901280408948	274.896281392
14	169880	195488	169628	195140	0.549086223055	0.602971150831	0.984260673934	42.0363163664
14	195488	250804	195140	251325	0.444102972015	0.400195781792	0.972096150296	98.704875919
14	250804	281244	251325	280736	0.299770039422	0.250654517017	0.973820945541	60.9824116134
14	281244	321640	280736	321296	0.215343103278	0.221400394477	0.996773101645	115.477583397
14	321640	412474	321296	412360	0.716438778431	0.627877097426	0.953801109426	228.177552137
14	412474	449239	412360	449540	0.522018223854	0.791877353416	0.929007796641	182.629743277
14	449239	499122	449540	498651	0.478960768198	0.468611919936	0.986133035659	125.064048573
14	499122	562578	498651	563983	0.199019793243	0.224652543929	0.984657842797	117.283388455
14	562578	609997	563983	609909	0.548071448154	0.555241039934	0.913790694153	298.849337578
14	609997	634761	609909	635287	0.638063317719	0.793206714477	0.845486697281	165.999084478
14	634761	691139	635287	691013	0.749689595232	0.718174640204	0.988903288107	209.320615505
14	691139	713456	691013	712055	0.519021373841	0.583832335329	0.993821345117	44.551985043
14	713456	739099	712055	738332	0.342705611668	0.493435323667	0.933118936641	67.4942536395
15	36130	120349	35975	122546	0.640746149919	0.506203001005	0.891605977659	375.552869236
15	120349	167607	122546	167909	0.404460620424	0.404117893437	0.955228646347	239.721145658
15	167607	227640	167909	227480	0.534889144304	0.609323328465	0.978124682676	340.505882664
15	227640	277919	227480	277916	0.457785556594	0.526964866365	0.978391615838	352.253143345
15	277919	307337	277916	309068	0.890033312938	0.769934514638	0.983320681934	174.473814237
15	307337	336917	309068	337721	0.405578093306	0.320873905001	0.923846541703	50.0811837133
15	336917	436558	337721	436737	0.486315873988	0.330345600711	0.965088498964	452.803876348
15	436558	463890	436737	464241	0.591138592126	0.462223676556	0.974430859219	150.679097265
15	463890	489456	464241	488464	0.605452554174	0.735540601907	0.989111160023	113.974272303
15	489456	566602	488464	565943	0.536586472403	0.485996205423	0.957713827435	221.090351638
15	566602	615928	565943	617100	0.601021773507	0.581503997498	0.725997930354	137.822095792
15	615928	658455	617100	658609	0.533308251229	0.532197836614	0.988190243782	57.2903725251
15	658455	680022	658609	680795	0.631056707006	0.234021454972	0.866570778632	73.5943243925
15	680022	767758	680795	767611	0.346824564603	0.300900755621	0.984101677757	129.566648042
15	767758	855313	767611	855105	0.477654046028	0.471140878232	0.995450658303	225.015771724
15	855313	873618	855105	873907	0.642993717564	0.661259440485	0.988843432541	21.2312928087
15	873618	907728	873907	907898	0.347991791264	0.370480421288	0.964858850429	169.00767014
15	907728	980247	907898	979502	0.607702808919	0.734162895928	0.920040916461	309.998123509
15	980247	1053558	979502	1053421	0.376641977329	0.372556446922	0.994676566729	132.781484054
16	73005	163399	72828	163365	0.751178175543	0.610269834432	0.976167873546	193.602292424
16	163399	210430	163365	210559	0.479938763794	0.529548247659	0.894929652447	69.1522856378
16	210430	289406	210559	289208	0.221852208266	0.174471385523	0.985050812244	93.3054898138
16	289406	385064	289208	385022	0.625635074955	0.454343832843	0.976737417795	248.237123196
16	385064	418356	385022	418772	0.322089390845	0.331407407407	0.949800165028	133.825087586
16	418356	454801	418772	455758	0.722046920016	0.527523927973	0.921713757724	233.62040067
16	454801	512169	455758	512295	0.423807697671	0.447476873552	0.993470095392	125.850686008
16	512169	634164	512295	634445	0.414127628181	0.37229226361	0.974066007546	275.813175722
16	634164	685174	634445	684714	0.54799059008	0.552885476138	0.993154683866	149.937472825
16	685174	776656	684714	776625	0.440786165584	0.583379573718	0.959834642396	373.014760217
16	776656	821138	776625	820861	0.730430286408	0.667736685053	0.950522783878	174.368456936
16	821138	843097	820861	844555	0.321143950089	0.202793956276	0.991195009253	77.3861580884
